Symbol,Description,Price,Price - Currency,"Price change %, 1 day",Sector,Industry,Exchange,"Price × volume (turnover), 1 day","Price × volume (turnover), 1 day - Currency","Volume, 1 day","Price change %, 1 week","Price change %, 1 month","Performance %, 3 months","Performance %, 1 year",Market capitalization,Market capitalization - Currency,Country or region of registration,"Beta, 1 year","Volume, 1 week","Average volume, 30 days","Moving average convergence divergence, 12,26, 1 week, Level","Moving average convergence divergence, 12,26, 1 week, Signal","Moving average convergence divergence, 12,26, 1 day, Level","Moving average convergence divergence, 12,26, 1 day, Signal","Exponential moving average, 10, 1 day","Exponential moving average, 20, 1 day","Exponential moving average, 50, 1 day","Exponential moving average, 200, 1 day","Exponential moving average, 10, 1 week","Exponential moving average, 20, 1 week","Exponential moving average, 50, 1 week","Exponential moving average, 200, 1 week",Snapshot Date
ELF,"e.l.f. Beauty, Inc.",82.26,USD,1.681087762669962,Consumer non-durables,Household/Personal care,NYSE,143239502.52,USD,1741302,6.334022750775602,11.162162162162168,30.364500792393034,-31.915245820228428,4848160906.0,USD,United States,2.2825005,8685576,2802222.066666667,-1.4911576253206815,-5.173546452130162,4.035475063967823,3.9393110038257126,79.87393785159554,76.88152135502415,71.15897219599556,78.09307872018553,72.0266618726445,71.21160833314971,80.7872455122887,91.45552917912754,2026-07-31
SHOO,"Steven Madden, Ltd.",47.83,USD,10.2073732718894,Consumer non-durables,Apparel/Footwear,NASDAQ,102083808.15,USD,2134305,11.883040935672511,13.610451306413292,26.90368798089679,107.14595062797748,3495676440.0,USD,United States,1.2250249,5295599,1168117.7666666666,1.887612088792871,1.5359494135116745,0.7161314270581087,0.316658706245947,43.97655172105185,43.27355467320303,42.27921606523431,39.12476256880543,43.23093759008543,41.68957329180522,38.99872746245583,36.84496850472719,2026-07-31
CROX,"Crocs, Inc.",123.66,USD,-7.384661473936499,Consumer non-durables,Apparel/Footwear,NASDAQ,371858233.32,USD,3007102,-8.209619952494064,2.5033156498673708,21.294752329573317,18.56184084372004,6144622013.0,USD,United States,1.0222006,6320970,1105616.2,10.905007924310851,9.387876291600952,2.428576880983286,3.5995180827861426,132.1443955775461,130.95611535583774,123.82018952324697,105.33617579218009,124.70896432396638,115.6229343611041,104.74513222725233,100.29204947161058,2026-07-31
CCL,Carnival Corporation Ltd.,27.77,USD,-0.1438331535418883,Consumer services,Hotels/Resorts/Cruise lines,NYSE,656991518.63,USD,23658319,5.469046714774027,-2.8001400070003526,4.280886218550509,-7.247828991315971,38035158076.0,USD,United States,1.1719328,92131679,21888636.83333333,-0.1648351126837646,-0.1425124862800325,-0.0972034350941797,-0.3041245566338507,27.11229062715439,27.109462137830075,27.28790115573593,27.43369014637969,27.46158273487146,27.60037298241197,27.3320418620242,23.775518579570225,2026-07-31
CMG,"Chipotle Mexican Grill, Inc.",38.52,USD,12.500000000000004,Consumer services,Restaurants,NYSE,1370709855.36,USD,35584368,21.170179301667204,13.294117647058831,13.294117647058831,-13.301823092505057,49410914606.0,USD,United States,1.4391764,81577772,19330225.166666668,-0.5017507319114998,-1.185629629824253,0.4706934359406105,0.2772733996836648,34.35340621857267,33.94578108987632,33.43096067941734,36.08791712370536,34.294637017914056,34.28012977720912,37.24799833174484,41.01319378848444,2026-07-31
SBUX,Starbucks Corporation,105.85,USD,1.6420203572114402,Consumer services,Restaurants,NASDAQ,2478766085.4,USD,23417724,2.518159806295394,3.5815637537919525,0.1419110690633789,8.20342448249424,120668998260.0,USD,United States,1.0583913,48543902,7703944.933333334,3.114308988960971,3.074214257819067,0.4359392735523499,0.638365051345283,104.4060267667346,104.20395472682752,102.91912254027888,97.3032403495252,103.5422245922564,101.2210109622952,96.76506339682476,93.22311309816638,2026-07-31
VIK,Viking Holdings Ltd,104.45,USD,1.743619715565952,Consumer services,Hotels/Resorts/Cruise lines,NYSE,145790787.75,USD,1395795,3.713633204249836,-0.2101843890321953,26.744327144763997,77.96898960640657,46601108812.0,USD,Bermuda,1.0411407,8346898,2359725.4,8.229940418583155,7.3531656687425295,1.8453011588692616,1.5961528631111868,101.75956391507216,100.40426312101933,95.94803053773713,79.97993708117704,96.96421213160788,90.47514778732156,77.55324880741664,,2026-07-31
CAKE,The Cheesecake Factory Incorporated,101.31,USD,0.1680838441763908,Consumer services,Restaurants,NASDAQ,239844738.54,USD,2367434,19.58215297450425,27.369876791551413,62.6163723916533,53.5,5033624082.0,USD,United States,1.1750973,10861036,1573147.433333333,8.542389705196157,5.635473426290353,5.373248467563144,4.013771085363087,90.55839424578802,86.05260227444617,78.16275424770362,64.99434067965842,81.54011345084301,73.80134609972951,64.47508882488704,50.50211354766055,2026-07-31
PENN,"PENN Entertainment, Inc.",20.515,USD,-3.231132075471692,Consumer services,Casinos/Gaming,NASDAQ,60722697.255,USD,2959917,0.1708984375000007,-3.955992509363291,16.76152532726238,10.831982712047536,2745796624.0,USD,United States,1.3578622,9159068,3484106.2666666666,1.503147464154743,1.2945124735430666,0.1321314683228749,0.2014781112503317,20.861087173612702,20.825719002776477,20.0244159649126,17.59069578441549,20.105162742020703,18.827269624946315,17.55347688654736,22.610244497440263,2026-07-31
AMC,"AMC Entertainment Holdings, Inc.",2.77,USD,0.7272727272727278,Consumer services,Movies/Entertainment,NYSE,86739497.46,USD,31313898,22.026431718061676,45.789473684210535,82.23684210526315,-6.418918918918917,2472514764.0,USD,United States,3.7330518,182722627,55814221.20000002,0.1519667842401122,0.036190569024865,0.1794778151385689,0.1058505453892156,2.458319277682727,2.2926340097846336,2.06331837488243,2.018624762303725,2.1304472502076197,1.9470373250273296,2.20161718848938,19.32873102733544,2026-07-31
